Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.38556671142578,35.250692053827606,26.767990316905017,28.9087865499696,855215656
1,2007-10-08,30.727672576904297,33.48012486897146,30.53451718745854,33.48012486897146,126671715
2,2007-10-09,32.8201789855957,33.109909879074095,29.08585756305142,30.743766243977518,116725709
3,2007-10-10,33.126007080078125,33.8020487537738,32.83627618174463,33.67327776759036,67931378
4,2007-10-11,36.828128814697266,38.63090483962656,32.83627042359523,38.63090483962656,106320954
5,2007-10-12,36.58668518066406,37.95486273117044,35.73358711068223,36.05551124021314,99410791
6,2007-10-15,37.069583892822266,37.56856908192053,36.7476596545822,37.343220368601706,41814972
7,2007-10-16,40.85218048095703,41.49603311559861,36.860322090982606,37.11785965173882,138614496
8,2007-10-17,44.03924560546875,45.06940051202606,34.15616790698918,36.69937061016116,204876259
9,2007-10-18,42.493995666503906,48.11157371603889,40.67512512935705,44.74746467056655,146617799
10,2007-10-19,42.34912109375,44.0714156737166,40.24051589844295,41.52821212774516,110266491
11,2007-10-22,41.78577423095703,43.08956554802296,40.40149749420485,41.49604331231755,72253405
12,2007-10-23,44.763572692871094,45.16597795482985,42.815928605164785,42.815928605164785,74594921
13,2007-10-24,44.07143783569336,46.19613855575419,43.57245267609197,45.71324786056263,63055170
14,2007-10-25,43.974849700927734,45.005008755704154,38.84015762118802,42.57447873678274,34522489
15,2007-10-26,45.29473876953125,46.019068113191636,43.54025039055912,44.74746596332643,62370025
16,2007-10-29,46.212215423583984,47.32285530350202,45.80981030279846,46.03515891698836,43657697
17,2007-10-30,47.242374420166016,48.513971985813654,45.455693058727526,46.839969298180996,79921711
18,2007-10-31,48.22425842285156,49.286610944759616,47.32287237369617,47.48383448007225,44655368
19,2007-11-01,47.14580535888672,49.785585309688344,46.75949897321215,49.41537338602588,50632492
20,2007-11-02,47.998878479003906,48.28861357495792,45.069369176861734,45.439585273608806,32001693
21,2007-11-05,48.980770111083984,50.05921685301193,47.67697472467834,47.966709943685544,38833135
22,2007-11-06,49.624610900878906,52.76337079112563,48.94856943585847,49.8338606869537,81880281
23,2007-11-07,48.90028762817383,51.25033203328233,47.80574645821063,50.54210156630636,33593141
24,2007-11-08,48.063270568847656,49.367065551873225,47.00092298241875,47.644771063011845,27990521
25,2007-11-12,49.22220993041992,50.09140679667139,45.343021683779455,46.61462369804081,35153735
26,2007-11-13,50.39722442626953,51.41128437178822,48.46568000951978,50.05920589988818,43830531
