Price,Close,High,Low,Open,Volume
Ticker,BTC=F,BTC=F,BTC=F,BTC=F,BTC=F
Date,,,,,
2017-12-18,19100.0,20650.0,18345.0,20650.0,1054
2017-12-19,18200.0,19725.0,17180.0,19135.0,559
2017-12-20,17040.0,18350.0,16435.0,17745.0,784
2017-12-21,15330.0,17270.0,15080.0,16400.0,879
2017-12-22,14135.0,15825.0,12265.0,15595.0,2374
2017-12-26,15785.0,16100.0,13700.0,13900.0,406
2017-12-27,14690.0,16545.0,14460.0,15655.0,507
2017-12-28,13745.0,15280.0,13360.0,15150.0,746
2017-12-29,14470.0,15005.0,13835.0,13965.0,1078
2018-01-02,14855.0,15245.0,13080.0,13955.0,734
2018-01-03,14975.0,15450.0,14650.0,14900.0,719
2018-01-04,14900.0,15470.0,14205.0,14925.0,760
2018-01-05,16590.0,16845.0,14870.0,15085.0,814
2018-01-08,14905.0,16455.0,13870.0,16425.0,958
2018-01-09,14750.0,15365.0,14185.0,14675.0,863
2018-01-10,14450.0,14720.0,13480.0,14405.0,887
2018-01-11,13385.0,14910.0,12820.0,14500.0,1298
2018-01-12,13945.0,14080.0,12850.0,13000.0,787
2018-01-16,11160.0,14280.0,11160.0,13600.0,2552
2018-01-17,10945.0,11800.0,9225.0,11190.0,2657
2018-01-18,11815.0,12075.0,10645.0,11125.0,1708
2018-01-19,11360.0,12030.0,10990.0,11335.0,979
2018-01-22,10355.0,11830.0,9955.0,11300.0,1137
2018-01-23,11095.0,11350.0,9865.0,10625.0,1241
2018-01-24,11115.0,11455.0,10435.0,10790.0,838
2018-01-25,11245.0,11710.0,10830.0,11090.0,769
2018-01-26,10925.3701171875,11570.0,10925.3701171875,11355.0,573
2018-01-29,11170.0,11775.0,10970.0,11510.0,463
2018-01-30,9940.0,11245.0,9720.0,11120.0,1137
2018-01-31,10000.0,10275.0,9500.0,10000.0,842
2018-02-01,9090.0,10175.0,8480.0,10020.0,1485
2018-02-02,8585.0,9075.0,7750.0,8890.0,2535
2018-02-05,7260.0,8315.0,6870.0,8305.0,2186
2018-02-06,7550.0,7920.0,5970.0,6850.0,2234
2018-02-07,8245.0,8540.0,7235.0,7620.0,1379
2018-02-08,8325.0,8690.0,7645.0,7790.0,906
2018-02-09,8610.0,8770.0,7715.0,8165.0,764
2018-02-12,8860.0,8920.0,8075.0,8380.0,679
2018-02-13,8700.0,9000.0,8335.0,8925.0,550
2018-02-14,9290.0,9390.0,8505.0,8505.0,944
2018-02-15,10090.0,10180.0,9375.0,9400.0,1783
2018-02-16,10020.0,10265.0,9675.0,10090.0,1101
2018-02-20,11735.0,11760.0,10315.0,10350.0,2080
2018-02-21,10370.0,11340.0,10220.0,11240.0,1326
2018-02-22,10085.0,10900.0,9710.0,10505.0,1168
2018-02-23,10319.4296875,10360.0,9590.0,9975.0,0
2018-02-26,10250.0,10390.0,9270.0,9680.0,745
2018-02-27,10660.0,10875.0,10100.0,10285.0,761
